Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,100,262,260,266,273,279,255,375,"20,000%","9,83284","3,95","1,58"
TOTAL,100,262,260,266,273,279,255,375,"20,000%","9,83284","3,95","1,58"
