Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10,279,270,294,294,350,265,350,"0,000%","1,07585","0,43","0,18"
TOTAL,10,279,270,294,294,350,265,350,"0,000%","1,07585","0,43","0,18"
