Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,100,262,261,268,276,286,256,361,"0,000%","9,83284","3,93","1,62"
TOTAL,100,262,261,268,276,286,256,361,"0,000%","9,83284","3,93","1,62"
