Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,259,259,263,265,284,254,348,"0,000%","96,49715","38,53","15,85"
TOTAL,1000,259,259,263,265,284,254,348,"0,000%","96,49715","38,53","15,85"
