Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10,271,264,300,300,304,257,304,"20,000%","1,07481","0,43","0,17"
TOTAL,10,271,264,300,300,304,257,304,"20,000%","1,07481","0,43","0,17"
