Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,259,259,263,265,275,254,320,"20,000%","96,70245","38,89","15,55"
TOTAL,1000,259,259,263,265,275,254,320,"20,000%","96,70245","38,89","15,55"
